epigenome	mark	ChromImpute_top1%	ChromImpute_corr_clip500	Average_top1%	Average_corr_clip500
IHECRE00000734.3	H3K27ac	70.489	0.8437	29.7207	0.335
IHECRE00000738.3	H3K27ac	70.8948	0.8426	37.9135	0.4584
IHECRE00000743.1	H3K27ac	76.5112	0.8501	43.3124	0.5544
IHECRE00000756.1	H3K27ac	67.5475	0.8223	34.9852	0.3596
IHECRE00000772.1	H3K27ac	62.5726	0.75	29.7922	0.2959
IHECRE00000773.1	H3K27ac	62.0108	0.7935	28.2541	0.3324
IHECRE00000774.3	H3K27ac	74.7795	0.7863	48.8605	0.6004
IHECRE00000775.1	H3K27ac	61.122	0.7763	32.5287	0.4518
IHECRE00000783.1	H3K27ac	61.5746	0.754	28.0722	0.2799
IHECRE00000784.3	H3K27ac	73.0251	0.889	41.4833	0.6051
IHECRE00000785.3	H3K27ac	57.2614	0.7544	42.7577	0.651
IHECRE00000800.3	H3K27ac	40.6505	0.6663	24.6098	0.4179
IHECRE00000807.3	H3K27ac	48.4437	0.6621	22.6578	0.3575
IHECRE00000808.1	H3K27ac	77.1765	0.8552	43.0454	0.5426
IHECRE00000810.3	H3K27ac	69.6415	0.8661	41.5755	0.5747
IHECRE00000821.3	H3K27ac	74.5653	0.8348	33.848	0.3971
IHECRE00000828.1	H3K27ac	79.5276	0.8399	44.5307	0.4751
IHECRE00000831.3	H3K27ac	81.1086	0.886	55.7846	0.7145
IHECRE00000833.3	H3K27ac	46.037	0.6238	31.8464	0.4083
IHECRE00000845.3	H3K27ac	35.2394	0.5133	22.7092	0.2895
IHECRE00000864.3	H3K27ac	68.4303	0.8433	39.8844	0.5691
IHECRE00000866.3	H3K27ac	84.3415	0.9295	52.9168	0.6767
IHECRE00000867.3	H3K27ac	77.1505	0.8893	40.1994	0.4696
IHECRE00000868.3	H3K27ac	69.3613	0.8215	49.0443	0.6702
IHECRE00000881.1	H3K27ac	46.2225	0.6138	31.5109	0.4062
IHECRE00000882.3	H3K27ac	79.0015	0.8875	51.7754	0.7346
IHECRE00000886.3	H3K27ac	78.8557	0.9052	41.8987	0.5438
IHECRE00000891.3	H3K27ac	51.4563	0.6342	19.781	0.2148
IHECRE00000913.1	H3K27ac	52.2496	0.6805	21.3606	0.2567
IHECRE00000915.1	H3K27ac	68.1078	0.7821	41.0201	0.5806
IHECRE00000916.3	H3K27ac	63.7132	0.7824	37.454	0.5289
IHECRE00000924.7	H3K27ac	29.3061	0.4132	23.5956	0.3589
IHECRE00000925.7	H3K27ac	58.4937	0.8067	38.5867	0.6305
IHECRE00000927.6	H3K27ac	44.9719	0.6858	36.4776	0.6009
IHECRE00000930.6	H3K27ac	73.3348	0.8351	46.9623	0.6474
IHECRE00000931.7	H3K27ac	71.0573	0.8655	51.0969	0.7512
IHECRE00000934.7	H3K27ac	61.6807	0.7128	43.8448	0.5418
IHECRE00000935.6	H3K27ac	73.2194	0.7834	53.2304	0.654
IHECRE00000936.7	H3K27ac	66.2586	0.8485	43.7567	0.6758
IHECRE00000938.7	H3K27ac	63.7277	0.7684	35.1244	0.4984
IHECRE00000940.6	H3K27ac	82.8037	0.9234	57.3835	0.7447
IHECRE00000942.6	H3K27ac	57.5865	0.791	39.7626	0.6512
IHECRE00000943.7	H3K27ac	41.0172	0.5122	26.2693	0.3525
IHECRE00000944.7	H3K27ac	74.5005	0.8649	44.688	0.6772
IHECRE00000945.7	H3K27ac	70.5527	0.8076	42.4983	0.605
IHECRE00000947.7	H3K27ac	78.3607	0.9156	54.0152	0.7666
IHECRE00000948.6	H3K27ac	66.3005	0.8505	49.1414	0.6224
IHECRE00000949.6	H3K27ac	74.55	0.9019	40.4471	0.6224
IHECRE00000952.6	H3K27ac	74.6757	0.8906	44.0184	0.5425
IHECRE00000953.7	H3K27ac	63.441	0.8397	48.9023	0.7362
IHECRE00000954.6	H3K27ac	77.6222	0.8831	54.2082	0.7618
IHECRE00000955.6	H3K27ac	65.7329	0.8227	40.1389	0.4936
IHECRE00000956.7	H3K27ac	66.094	0.8303	45.2672	0.6934
IHECRE00000957.7	H3K27ac	66.4686	0.8624	45.9638	0.6887
IHECRE00000958.6	H3K27ac	78.1341	0.86	54.3678	0.7538
IHECRE00000960.6	H3K27ac	58.964	0.6939	45.234	0.6057
IHECRE00000963.7	H3K27ac	52.2677	0.7013	40.4541	0.5888
IHECRE00000964.7	H3K27ac	67.3238	0.8852	53.9235	0.7926
IHECRE00000965.7	H3K27ac	70.9786	0.8193	44.9907	0.6535
IHECRE00000966.7	H3K27ac	73.2966	0.8694	46.6126	0.6853
IHECRE00000967.6	H3K27ac	65.8839	0.87	53.3917	0.7567
IHECRE00000969.7	H3K27ac	61.1796	0.8055	49.9735	0.7195
IHECRE00000972.6	H3K27ac	74.7508	0.8889	64.2936	0.8612
IHECRE00000974.7	H3K27ac	47.2648	0.604	28.8412	0.4222
IHECRE00000975.8	H3K27ac	36.6907	0.6035	29.2856	0.5287
IHECRE00000976.6	H3K27ac	78.3961	0.8145	48.5632	0.6297
IHECRE00000978.6	H3K27ac	81.5092	0.9067	55.3056	0.7686
IHECRE00000979.6	H3K27ac	74.888	0.8875	52.5996	0.7167
IHECRE00000980.8	H3K27ac	60.865	0.8142	44.2252	0.671
IHECRE00000983.7	H3K27ac	73.5829	0.877	55.5579	0.7917
IHECRE00000984.6	H3K27ac	81.0926	0.9229	54.8259	0.7857
IHECRE00000985.7	H3K27ac	34.3545	0.5793	14.0721	0.2565
IHECRE00000987.6	H3K27ac	67.4255	0.8522	36.6573	0.565
IHECRE00000988.6	H3K27ac	66.5958	0.819	35.737	0.571
IHECRE00000991.6	H3K27ac	72.4525	0.8896	49.8412	0.6259
IHECRE00000992.7	H3K27ac	44.2429	0.6502	25.2594	0.3822
IHECRE00000993.6	H3K27ac	65.5476	0.8547	45.8826	0.6616
IHECRE00000994.7	H3K27ac	66.8574	0.8225	41.6365	0.6309
IHECRE00000995.6	H3K27ac	63.1393	0.8654	42.925	0.6764
IHECRE00000997.7	H3K27ac	49.6658	0.7711	34.6721	0.5623
IHECRE00000999.7	H3K27ac	17.3135	0.3116	6.302	0.1094
IHECRE00001001.6	H3K27ac	73.8813	0.7728	49.2804	0.628
IHECRE00001002.4	H3K27ac	36.6743	0.45	15.3596	0.1979
IHECRE00001003.4	H3K27ac	71.6352	0.8912	46.3282	0.6653
IHECRE00001004.4	H3K27ac	47.9428	0.725	36.035	0.6057
IHECRE00001005.4	H3K27ac	63.5514	0.7993	35.4759	0.5077
IHECRE00001006.4	H3K27ac	69.819	0.8657	42.7294	0.63
IHECRE00001007.4	H3K27ac	71.1552	0.8638	38.9438	0.5498
IHECRE00001008.4	H3K27ac	66.1439	0.8371	50.3093	0.6638
IHECRE00001009.4	H3K27ac	71.3984	0.8703	45.2731	0.6258
IHECRE00001010.4	H3K27ac	81.9565	0.9379	44.3208	0.6594
IHECRE00001011.4	H3K27ac	80.1335	0.9168	43.477	0.6599
IHECRE00001012.4	H3K27ac	72.0059	0.8851	39.6425	0.61
IHECRE00001013.4	H3K27ac	75.3812	0.9138	44.9971	0.6608
